Partlist

Exported from CM4_SWITCH.brd at 3/10/24 19:35

EAGLE Version 7.7.0 Copyright (c) 1988-2016 CadSoft

Assembly variant: 

Part     Value                      Package             Library  Position (inch)       Orientation
FB7                                 0805                SparkFun (5.25 1.95)           R270

FID1     FIDUCIAL                   FIDUCIAL            Nigel    (0.25 0.1)            R0
FID2     FIDUCIAL                   FIDUCIAL            Nigel    (6.05 0.1)            R0
FID3     FIDUCIAL                   FIDUCIAL            Nigel    (6.05 4.6)            R0
FID4     FIDUCIAL                   FIDUCIAL            Nigel    (0.25 4.6)            R0

J1       MICROSD                    MSD-4-A             Nigel    (5.65 4.55)           R180
J2       POWER_JACKPTH              POWER_JACK_PTH      SparkFun (0.75 4.8)            R180
J3       SFP+                       SFP_SOCKET_CAGE     Nigel    (4.95 1.4)            R90
J4       JXD0-4015NL                JXD0-4015NL         Nigel    (2.75 0.35)           R0

JP1                                 1X02_LONGPADS       SparkFun (1.75 2)              R270
JP2                                 1X02_LONGPADS       SparkFun (1.75 1.15)           R270

L1       3.3uH                      SRN6045TA           Nigel    (1.2 2.05)            R0
L2       3.3uH                      SRN6045TA           Nigel    (1.2 1.2)             R0

LED1     G                          LED-0603            SparkFun (3.75 2.8)            R270
LED2     Y                          LED-0603            SparkFun (3.75 2.9)            R270
LED3     G                          LED-0603            SparkFun (3.75 3)              R270
LED5     G                          LED-0603            SparkFun (2.8 4.65)            R0
LED7     G                          LED-0603            SparkFun (2.9 4.65)            R0
LED4     LED                        LED_QBL7XX80D-MP4A  Nigel    (0.5 0.2)             R0
LED6     LED                        LED_QBL7XX80D-MP4A  Nigel    (5.8 0.2)             R0
LED8     LED                        LED_QBL7XX80D-MP4A  Nigel    (0.75 0.2)            R0

Q1       MOSFET_P_CHANNELDMP4015SSS SO08                Nigel    (0.75 3.95)           R0
Q3       MOSFET_P_CHANNELAO3423     SOT-23              Nigel    (5.8 0.55)            R180

Q2                                  CRYSTAL_3.2X2.5     Nigel    (3.45 2.35)           R270

R22      191R                       0402-RES            SparkFun (4.35 1.8)            R0
R1       1K                         0402-RES            SparkFun (3.9 2.8)             R0
R2       1K                         0402-RES            SparkFun (3.9 2.9)             R0
R3       1K                         0402-RES            SparkFun (3.9 3)               R0
R26      1K                         0402-RES            SparkFun (4.8 1.1)             R0
R27      1K                         0402-RES            SparkFun (4.8 1)               R180
R16      4.7K                       0402-RES            SparkFun (4.15 2.35)           R90
R17      4.7K                       0402-RES            SparkFun (4.05 2.35)           R90
R30      4.7K                       0402-RES            SparkFun (5.45 1.95)           R270
R31      4.7K                       0402-RES            SparkFun (5.55 1.95)           R270
R15      6.04K                      0402-RES            SparkFun (3.25 2.2)            R180
R18      10K                        0402-RES            SparkFun (4.35 1.45)           R0
R19      10K                        0402-RES            SparkFun (4.1 1.25)            R270
R20      10K                        0402-RES            SparkFun (4.05 1.25)           R270
R21      10K                        0402-RES            SparkFun (4 1.25)              R270
R24      10K                        0402-RES            SparkFun (4.35 2.05)           R0
R25      10K                        0402-RES            SparkFun (4.35 2.1)            R0
R29      10K                        0402-RES            SparkFun (4.8 1.2)             R180
R44      10K                        0402-RES            SparkFun (4.35 2.15)           R0
R23      DNP                        0402-RES            SparkFun (4.35 2.2)            R0

R7       10R                        0603-RES            SparkFun (0.95 2.3)            R270
R11      22R                        0603-RES            SparkFun (0.95 1.45)           R270
R13      27                         0603-RES            SparkFun (2.5 4.4)             R270
R14      27                         0603-RES            SparkFun (2.4 4.4)             R270
R32      1K                         0603-RES            SparkFun (4.1 0.4)             R180
R33      1K                         0603-RES            SparkFun (4.1 0.3)             R180
R34      1K                         0603-RES            SparkFun (4.1 0.2)             R180
R35      1K                         0603-RES            SparkFun (4.1 0.1)             R180
R36      1K                         0603-RES            SparkFun (1.4 0.1)             R0
R37      1K                         0603-RES            SparkFun (1.4 0.3)             R0
R38      1K                         0603-RES            SparkFun (1.4 0.2)             R0
R39      1K                         0603-RES            SparkFun (1.4 0.4)             R0
R40      1K                         0603-RES            SparkFun (0.5 0.4)             R180
R41      1K                         0603-RES            SparkFun (2.8 4.5)             R90
R42      1K                         0603-RES            SparkFun (2.9 4.5)             R90
R43      1K                         0603-RES            SparkFun (0.75 0.4)            R180
R45      1K                         0603-RES            SparkFun (5.8 0.4)             R180
R8       3.74K                      0603-RES            SparkFun (1 0.9)               R180
R12      10K                        0603-RES            SparkFun (0.875 3.52)          R270
R28      10K                        0603-RES            SparkFun (5.8 0.7)             R180
R9       11K                        0603-RES            SparkFun (1 1)                 R180
R4       15.8K                      0603-RES            SparkFun (1 1.75)              R180
R6       22.1K                      0603-RES            SparkFun (0.85 1.85)           R180
R10      22.1K                      0603-RES            SparkFun (0.85 1)              R180
R5       115.8K                     0603-RES            SparkFun (1 1.85)              R180

SJ1                                 SJ_2S-TRACE         SparkFun (5.6 3.95)            R0
SJ2      NC                         SJ_2S-TRACE         SparkFun (4.5 3.45)            R270
SJ3      NO                         SJ_2S-NO            SparkFun (4.5 3.55)            R90
SJ4      NO                         SJ_2S-NO            SparkFun (4.65 3.05)           R90
SJ5      NO                         SJ_2S-NO            SparkFun (4.75 3.05)           R90
SJ6      NO                         SJ_2S-NO            SparkFun (4.85 3.05)           R90
SJ7      NO                         SJ_2S-NO            SparkFun (4.95 3.05)           R90
SJ8      NO                         SJ_2S-NO            SparkFun (1.75 1.3)            R0
SJ9      NO                         SJ_2S-NO            SparkFun (1.75 2.15)           R0
SJ10     NO                         SJ_2S-NO            SparkFun (4.35 1.58)           R90
SJ11     NO                         SJ_2S-NO            SparkFun (4.8 0.9)             R180

T1       HX6098NL                   HX6098NL            Nigel    (2.65 2.65)           R270
U$1      RPI-CM4                    RPI-CM4             Nigel    (5.2 4.7)             R180
         CM4 Hirose Connector		DF40C-100DS-0.4V(51)
U$2      USB-MICROB                 USB-MICROB-10118192 Nigel    (2.5 4.65)            R180
U1       AP64501                    SO-8EP              Nigel    (0.85 2.05)           R90
U2       AP64501                    SO-8EP              Nigel    (0.85 1.2)            R90
U3       KSZ9477S                   TQFP-128-EP         Nigel    (3.8 1.8)             R270
U4       FT231XS                    SSOP-20             Nigel    (2.5 4.1)             R90
U5       AP7361EA-25SP-13           SO-8EP              Nigel    (1.5 2.7)             R270
U6       AP7361EA-33SP-13           SO-8EP              Nigel    (1.5 3.05)            R270
Z1       12V                        SOT-23              Nigel    (0.75 3.65)           R90
